time,link,area,delta_p
1.7400000000000013,L2,0.015,20.0
1.7400000000000013,L3,0.003,15.0
1.7400000000000013,L4,0.003,10.0
1.7500000000000013,L1,0.015,15.0
1.7500000000000013,L2,0.015,20.0
1.7500000000000013,L3,0.003,15.0
1.7500000000000013,L4,0.003,10.0
1.7600000000000013,L1,0.015,15.0
1.7600000000000013,L2,0.015,20.0
1.7600000000000013,L3,0.003,15.0
1.7600000000000013,L4,0.003,10.0
1.7700000000000014,L1,0.015,15.0
1.7700000000000014,L2,0.015,20.0
1.7700000000000014,L3,0.003,15.0
1.7700000000000014,L4,0.003,10.0
1.7800000000000014,L1,0.015,15.0
